layer_id,quote_id,pas_id,_pdm_last_update_timestamp,rating_basis,conditional_premium_reduction,our_share_pct,our_share_pct_london,our_share_pct_non_london,london_estimated_signed_line,london_order_percentage,tech_gnwp,modtech_gnwp,sold_gnwp,tech_ggwp,modtech_ggwp,sold_ggwp,sold_ggwp_our_share,tech_elc,modtech_elc,tech_gg_elr,modtech_gg_elr,tech_gn_elr,modtech_gn_elr,commission,sold_to_modtech,modtech_to_tech
Q00029-L2,Q00029,PAS-000029,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.9072,433021.96,398609.12,333338.65,472154.74,434631.96,363462.91,55936.94,238979.17,210972.03,0.506146,0.485404,0.551887,0.52927,55255.05,0.836254,0.920529
Q00030-L1,Q00030,PAS-000030,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.801,85101.64,82939.97,74534.37,94796.49,92388.56,83025.38,9813.6,47427.11,44282.1,0.500304,0.479303,0.5573,0.533905,15245.28,0.898654,0.974599
Q00030-L2,Q00030,PAS-000030,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.801,451124.57,413512.46,373320.75,496144.42,454778.82,410576.19,48530.11,266961.47,254386.7,0.538072,0.559364,0.591769,0.615185,67749.8,0.902804,0.916626
Q00031-L1,Q00031,PAS-000031,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.6706,828476.46,852229.4,768125.02,944803.41,971891.52,875977.98,73494.55,502758.7,542749.15,0.53213,0.558446,0.606847,0.636858,189147.58,0.901313,1.028671
Q00032-L1,Q00032,PAS-000032,2026-04-25 22:00:00.000,Premium,Conditional discount applied,1.0,1.0,0.0,1.0,0.514,174314.79,152262.24,145401.77,186559.34,162957.73,155615.36,10457.35,111474.01,101862.34,0.597526,0.625084,0.639498,0.668993,19086.46,0.954943,0.87349
Q00033-L1,Q00033,PAS-000033,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.8687,128117.94,126503.01,105661.53,140186.95,138419.89,115615.09,23331.13,79270.03,77178.38,0.565459,0.557567,0.618727,0.610091,18193.27,0.835249,0.987395
Q00033-L2,Q00033,PAS-000033,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.8687,47687.46,52137.59,45280.99,51978.96,56829.56,49355.92,9960.03,26393.37,29705.86,0.50777,0.522719,0.553466,0.569759,7476.99,0.86849,1.093319
Q00033-L3,Q00033,PAS-000033,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.8687,162497.69,161728.95,155327.67,180880.68,180024.98,172899.54,34891.13,95166.47,97281.15,0.526128,0.540376,0.585648,0.601507,31572.05,0.96042,0.995269
Q00034-L1,Q00034,PAS-000034,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.8583,946299.57,966631.92,862140.73,1078679.28,1101855.95,982747.28,123236.51,685782.2,669697.94,0.635761,0.607791,0.724699,0.692816,211610.51,0.891902,1.021486
Q00034-L2,Q00034,PAS-000034,2026-04-25 22:00:00.000,Exposure,Conditional discount applied,1.0,1.0,0.0,1.0,0.8583,108378.8,105339.93,93466.1,119343.65,115997.34,102922.21,12906.44,75677.51,72432.5,0.634114,0.624432,0.698269,0.687607,17174.64,0.887281,0.971961
Q00035-L1,Q00035,PAS-000035,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.696,463614.84,396547.49,356862.66,517617.88,442738.35,398430.94,83232.22,281720.26,229869.34,0.544263,0.519199,0.60766,0.579677,74462.92,0.899924,0.855338
Q00035-L2,Q00035,PAS-000035,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.696,228441.87,226540.19,210781.18,246771.05,244716.79,227693.34,47565.14,150253.25,154480.71,0.608877,0.631263,0.657731,0.681913,31311.99,0.930436,0.991675
Q00036-L1,Q00036,PAS-000036,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.6514,120916.79,107626.33,99891.52,131962.56,117458.01,109016.63,25902.35,89292.97,79809.09,0.676654,0.679469,0.738466,0.741539,16722.6,0.928133,0.890086
Q00037-L1,Q00037,PAS-000037,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.8108,160254.03,171589.29,162189.7,173680.51,185965.47,175778.36,40429.02,110999.21,116719.47,0.6391,0.627641,0.692645,0.680226,25076.36,0.94522,1.070733
Q00037-L2,Q00037,PAS-000037,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.8108,479140.81,505379.73,432750.82,533114.26,562308.9,481498.61,110744.68,347913.17,354273.55,0.652605,0.630034,0.726119,0.701005,87624.96,0.856288,1.054762
Q00038-L1,Q00038,PAS-000038,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.6583,435677.1,442091.47,354131.5,495276.14,502567.97,402575.4,54710.0,257523.04,249065.99,0.519958,0.495587,0.591087,0.563381,85228.8,0.801037,1.014723
Q00039-L1,Q00039,PAS-000039,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.5452,464596.04,398602.16,378579.59,504526.76,432860.9,411117.44,120950.75,307878.14,267419.99,0.610232,0.617797,0.662679,0.670894,59925.3,0.949768,0.857954
Q00040-L1,Q00040,PAS-000040,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.5055,306479.16,261509.94,269216.08,340222.87,290302.49,298857.08,62610.56,234006.9,206302.07,0.687805,0.710645,0.763533,0.788888,53402.35,1.029468,0.853272
Q00041-L1,Q00041,PAS-000041,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.7533,747117.99,702463.87,683409.11,845904.68,795346.23,773771.98,160480.31,552169.58,534443.71,0.652756,0.671964,0.739066,0.760813,159620.17,0.972874,0.940232
Q00042-L1,Q00042,PAS-000042,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.7743,40752.76,43141.44,35293.87,43641.5,46199.5,37795.66,11244.21,27283.22,27730.64,0.625167,0.600237,0.669482,0.642784,4672.38,0.818097,1.058614
Q00042-L2,Q00042,PAS-000042,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.7743,101661.6,91320.57,87026.08,112054.92,100656.68,95923.15,28537.14,78068.56,70537.12,0.696699,0.700769,0.767926,0.772412,16143.7,0.952974,0.89828
Q00043-L1,Q00043,PAS-000043,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.6272,274565.06,279678.32,269360.52,299100.45,304670.64,293430.84,49149.67,157584.84,165214.15,0.526863,0.542271,0.573944,0.590729,44191.62,0.963108,1.018623
Q00043-L2,Q00043,PAS-000043,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.6272,100339.99,101783.17,94519.92,110872.14,112466.81,104441.17,17493.9,76730.95,80967.29,0.692067,0.719922,0.76471,0.795488,17957.59,0.92864,1.014383
Q00043-L3,Q00043,PAS-000043,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.6272,374884.9,378000.27,376241.46,404956.49,408321.76,406421.87,68075.66,226942.64,229872.64,0.560412,0.562969,0.605366,0.608128,55878.49,0.995347,1.00831
Q00044-L1,Q00044,PAS-000044,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.7678,68783.49,71269.64,63883.08,75085.43,77799.36,69736.04,5969.41,53015.54,52186.25,0.70607,0.67078,0.77076,0.732237,10723.45,0.896357,1.036145
Q00044-L2,Q00044,PAS-000044,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.7678,181900.68,195103.24,150184.59,207608.79,222677.28,171410.25,14672.72,109032.95,114782.06,0.525185,0.515464,0.599409,0.588314,37194.59,0.76977,1.072581
Q00045-L1,Q00045,PAS-000045,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.5116,519657.46,548542.29,564238.36,570015.7,601699.66,618916.79,168592.93,354018.56,376372.57,0.621068,0.625516,0.681254,0.686132,99695.68,1.028614,1.055584
Q00046-L1,Q00046,PAS-000046,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.6566,339351.31,363922.49,317314.29,364587.43,390985.87,340911.6,71148.25,210082.07,226881.37,0.576219,0.58028,0.61907,0.623433,43927.9,0.871928,1.072406
Q00047-L1,Q00047,PAS-000047,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.6819,236766.13,205820.89,182973.42,259097.77,225233.79,200231.36,25749.75,156811.06,141755.25,0.60522,0.629369,0.662304,0.688731,31540.95,0.888993,0.8693
Q00048-L1,Q00048,PAS-000048,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.7181,801724.8,688956.52,682146.83,870130.98,747740.88,740350.17,61300.99,584800.55,523745.11,0.672083,0.700437,0.729428,0.760201,107255.25,0.990116,0.859343
Q00049-L1,Q00049,PAS-000049,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.729,220161.94,211041.98,218155.99,233976.01,224283.81,231844.2,59815.8,160099.5,157268.62,0.684256,0.701204,0.72719,0.745201,25760.09,1.033709,0.958576
Q00050-L1,Q00050,PAS-000050,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.7285,64612.41,55794.88,51716.24,69771.96,60250.31,55845.98,13821.88,43931.91,37279.67,0.62965,0.618746,0.67993,0.668156,7648.7,0.926899,0.863532
Q00050-L2,Q00050,PAS-000050,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.7285,59755.68,60855.71,66157.54,68123.11,69377.17,75421.4,18666.8,43212.51,44339.19,0.63433,0.639103,0.723153,0.728595,16252.0,1.087121,1.018409
Q00051-L1,Q00051,PAS-000051,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.6051,164085.25,153262.52,140735.72,183519.74,171415.15,157404.66,15299.73,110933.94,101156.67,0.60448,0.590127,0.676075,0.660022,29807.44,0.918266,0.934042
Q00051-L2,Q00051,PAS-000051,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.6051,101975.03,104470.12,102125.65,111578.5,114308.57,111743.31,10861.45,60732.76,61567.43,0.544305,0.538607,0.595565,0.589331,17579.74,0.977558,1.024468
Q00052-L1,Q00052,PAS-000052,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.5449,352031.72,320552.61,280761.2,383583.34,349282.85,305925.04,40688.03,249058.83,228511.68,0.649295,0.654231,0.70749,0.712868,46187.98,0.875866,0.910579
Q00052-L2,Q00052,PAS-000052,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.5449,147669.32,139003.63,119051.31,159787.5,150410.68,128821.02,17133.2,103478.43,100032.85,0.6476,0.665065,0.700744,0.719642,18057.55,0.856462,0.941317
Q00052-L3,Q00052,PAS-000052,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.5449,259571.4,261075.76,238071.73,294738.41,296446.58,270325.94,35953.35,156703.93,160533.6,0.531671,0.541526,0.603703,0.614893,56811.53,0.911888,1.005796
Q00053-L1,Q00053,PAS-000053,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.6425,112394.62,97946.7,95195.64,120624.68,105118.81,102166.31,26879.96,77870.43,65469.59,0.64556,0.622815,0.692831,0.668421,12990.13,0.971913,0.871454
Q00053-L2,Q00053,PAS-000053,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.6425,173936.56,161113.87,147812.15,188017.32,174156.59,159778.05,42037.61,125269.63,112691.45,0.666266,0.64707,0.720203,0.699452,22139.53,0.917439,0.92628
Q00054-L1,Q00054,PAS-000054,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.5253,1433597.26,1415247.23,1338675.27,1637316.54,1616358.91,1528905.79,190960.33,1017662.47,1021540.48,0.621543,0.632001,0.709866,0.721811,333123.07,0.945895,0.9872
Q00055-L1,Q00055,PAS-000055,2026-04-25 22:00:00.000,Premium,Conditional discount applied,1.0,1.0,0.0,1.0,0.6149,88285.34,76369.25,65622.32,98339.53,85066.4,73095.58,6271.6,54065.48,46604.26,0.549784,0.547857,0.612395,0.610249,13418.39,0.859277,0.865028
Q00056-L1,Q00056,PAS-000056,2026-04-25 22:00:00.000,Premium,None,1.0,1.0,0.0,1.0,0.548,137075.03,139143.93,132783.3,155495.87,157842.8,150627.4,18903.74,86747.99,84604.49,0.55788,0.536005,0.63285,0.608036,31460.39,0.954287,1.015093
Q00057-L1,Q00057,PAS-000057,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.5856,34176.59,33395.14,32218.33,38739.76,37853.98,36520.04,3925.9,22606.87,22304.47,0.583557,0.589224,0.661472,0.667896,7590.02,0.964761,0.977135
Q00058-L1,Q00058,PAS-000058,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.7427,898304.47,980677.05,915596.27,1001940.36,1093816.13,1021227.09,241928.7,502280.7,571493.47,0.501308,0.522477,0.559143,0.582754,189409.75,0.933637,1.091698
Q00058-L2,Q00058,PAS-000058,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.7427,248815.3,254059.78,227488.48,268314.94,273970.44,245316.75,58115.54,193846.7,207405.38,0.72246,0.757036,0.779079,0.816364,33065.21,0.895413,1.021078
Q00058-L3,Q00058,PAS-000058,2026-04-25 22:00:00.000,Limit,Conditional discount applied,1.0,1.0,0.0,1.0,0.7427,218489.99,199791.59,180167.72,249701.82,228332.3,205905.11,48778.92,169937.84,162296.17,0.680563,0.710789,0.777783,0.812327,45040.63,0.901778,0.91442
Q00059-L1,Q00059,PAS-000059,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.941,102446.35,90594.86,87836.33,112461.47,99451.39,96423.19,28117.0,72320.85,66338.02,0.643072,0.66704,0.705939,0.732249,15644.33,0.969551,0.884315
Q00059-L2,Q00059,PAS-000059,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.941,269566.69,267740.28,243454.71,290929.25,288958.1,262747.95,76617.3,185794.76,183597.92,0.638625,0.635379,0.689235,0.685731,35753.13,0.909294,0.993225
Q00059-L3,Q00059,PAS-000059,2026-04-25 22:00:00.000,Limit,None,1.0,1.0,0.0,1.0,0.941,59311.58,53414.67,44903.08,66022.05,59457.98,49983.38,14575.15,44880.35,42073.62,0.679778,0.707619,0.756688,0.787679,9127.89,0.840651,0.900578
Q00060-L1,Q00060,PAS-000060,2026-04-25 22:00:00.000,Exposure,None,1.0,1.0,0.0,1.0,0.5113,148937.81,155269.53,147946.31,164094.08,171070.13,163001.69,46471.78,87329.84,87107.72,0.532194,0.509193,0.586351,0.56101,27329.63,0.952835,1.042512
