coverage_id,layer_id,quote_id,pas_id,_pdm_last_update_timestamp,quote_name,new_renewal,section,coverage,subcoveragecode,inception_date,expiry_date,exposure,exposure_type,limit,limit_type,excess,deductible_value,deductible_type,claims_trigger,policy_coverage_jurisdiction,primary_coverage
Q00036-L1-C2,Q00036-L1,Q00036,PAS-000036,2026-04-25 22:00:00.000,Hartwell Group plc 2025,New,Cash in Transit and Specie,Cash in Transit,SC-564,2025-04-27,2026-04-27,32961185.81,Wage Roll,6101253.86,Aggregate,535350.3,166702.65,Aggregate,Occurrence,Worldwide excl. US,false
Q00037-L1-C1,Q00037-L1,Q00037,PAS-000037,2026-04-25 22:00:00.000,Bridgeford Group plc 2025,New,General Aviation,Liability,SC-113,2025-02-12,2026-02-12,14830290.09,Number of Insureds,4493043.2,Each and Every Loss,257451.93,110355.31,Each and Every Loss,Claims Made,Worldwide,true
Q00037-L1-C2,Q00037-L1,Q00037,PAS-000037,2026-04-25 22:00:00.000,Bridgeford Group plc 2025,New,General Aviation,War,SC-415,2025-02-12,2026-02-12,14216335.96,Number of Insureds,3105075.47,Each Claim,172201.42,64657.63,Aggregate,Occurrence,UK only,false
Q00037-L2-C1,Q00037-L2,Q00037,PAS-000037,2026-04-25 22:00:00.000,Bridgeford Group plc 2025,New,General Aviation,War,SC-361,2025-02-12,2026-02-12,1451678.09,Turnover,717687.77,Aggregate,14631.35,3222.77,Each and Every Loss,Claims Made,UK only,true
Q00038-L1-C1,Q00038-L1,Q00038,PAS-000038,2026-04-25 22:00:00.000,Inverness Resources Ltd 2025,Renewal,General Aviation,War,SC-135,2025-05-29,2026-05-29,2007919.19,Number of Insureds,674140.57,Aggregate,15799.04,12836.21,Each and Every Loss,Claims Made,UK only,true
Q00039-L1-C1,Q00039-L1,Q00039,PAS-000039,2026-04-25 22:00:00.000,Langford Resources Ltd 2025,Renewal,Directors and Officers,Side B/C,SC-360,2025-06-16,2026-06-16,17976067.31,Wage Roll,6002725.17,Aggregate,776783.22,204962.18,Aggregate,Losses Discovered,US excl. Worldwide,true
Q00040-L1-C1,Q00040-L1,Q00040,PAS-000040,2026-04-25 22:00:00.000,Langford Group plc 2024,New,European Professional Indemnity,Professional Indemnity,SC-997,2024-11-18,2025-11-18,695561.49,Number of Insureds,298174.8,Aggregate,1953.86,478.43,Each and Every Loss,Losses Discovered,US excl. Worldwide,true
Q00041-L1-C1,Q00041-L1,Q00041,PAS-000041,2026-04-25 22:00:00.000,Bridgeford Resources Ltd 2025,Renewal,European Professional Indemnity,Cyber,SC-870,2025-08-07,2026-08-07,1144820.14,Number of Insureds,142668.2,Each Claim,11779.8,3126.82,Aggregate,Losses Discovered,UK only,true
Q00042-L1-C1,Q00042-L1,Q00042,PAS-000042,2026-04-25 22:00:00.000,Northwood Resources Ltd 2025,New,Contingency,Event Cancellation,SC-106,2025-01-02,2026-01-02,13706655.56,Wage Roll,5604518.18,Each Claim,475857.34,229208.95,Aggregate,Losses Discovered,Worldwide excl. US,true
Q00042-L2-C1,Q00042-L2,Q00042,PAS-000042,2026-04-25 22:00:00.000,Northwood Resources Ltd 2025,New,Contingency,Event Cancellation,SC-274,2025-01-02,2026-01-02,11426972.05,Number of Insureds,579465.87,Each Claim,9699.87,2562.53,Aggregate,Losses Discovered,UK only,true
Q00042-L2-C2,Q00042-L2,Q00042,PAS-000042,2026-04-25 22:00:00.000,Northwood Resources Ltd 2025,New,Contingency,Non-Appearance,SC-160,2025-01-02,2026-01-02,6659165.47,Turnover,735501.02,Aggregate,54994.11,18267.71,Each and Every Loss,Claims Made,US excl. Worldwide,false
Q00043-L1-C1,Q00043-L1,Q00043,PAS-000043,2026-04-25 22:00:00.000,Langford Resources Ltd 2024,Renewal,European Professional Indemnity,Professional Indemnity,SC-181,2024-12-12,2025-12-12,8884365.87,Number of Insureds,3679285.83,Aggregate,188755.54,38273.24,Each and Every Loss,Losses Discovered,US excl. Worldwide,true
Q00043-L2-C1,Q00043-L2,Q00043,PAS-000043,2026-04-25 22:00:00.000,Langford Resources Ltd 2024,Renewal,European Professional Indemnity,Cyber,SC-781,2024-12-12,2025-12-12,2802573.78,Turnover,571636.39,Each and Every Loss,49426.25,16975.7,Each and Every Loss,Occurrence,Worldwide,true
Q00043-L2-C2,Q00043-L2,Q00043,PAS-000043,2026-04-25 22:00:00.000,Langford Resources Ltd 2024,Renewal,European Professional Indemnity,Professional Indemnity,SC-875,2024-12-12,2025-12-12,8747964.92,Turnover,2730243.8,Aggregate,187094.56,134855.81,Aggregate,Occurrence,UK only,false
Q00043-L3-C1,Q00043-L3,Q00043,PAS-000043,2026-04-25 22:00:00.000,Langford Resources Ltd 2024,Renewal,European Professional Indemnity,Cyber,SC-158,2024-12-12,2025-12-12,2438716.3,Wage Roll,870224.21,Aggregate,35042.49,15499.39,Aggregate,Occurrence,EU only,true
Q00044-L1-C1,Q00044-L1,Q00044,PAS-000044,2026-04-25 22:00:00.000,Eastleigh Technologies Inc 2025,Renewal,Contingency,Non-Appearance,SC-225,2025-09-19,2026-09-19,2877878.04,Number of Insureds,1274568.57,Each Claim,52266.29,51629.26,Each and Every Loss,Claims Made,EU only,true
